"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-09",,,,,"61","28","60"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-10",,,,,"66","31","64"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-11",,,,,"65","36","63"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-12",,,,,"66","36","62"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-13",,,,,"68","33","66"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-14",,,,,"73","31","71"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-15",,,,,"74","31","73"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-16",,,,,"79","36","78"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-17",,,,,"78","35","76"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-18",,,,,"78","39","77"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-19",,,,,"76","36","71"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-20",,,,,"75","36","73"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-21",,,,,"79","35","75"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-22",,,,,"82","40","79"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-23",,,,,"79","35","69"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-24",,,,,"76","44","76"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-25",,,,,"82","33","80"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-26",,,,,"83","39","82"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-27",,,,,"82","40","76"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-28",,,,,"76","36","70"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-29",,,,,"70","36","61"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-30",,,,,"72","25","70"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-01","0.00","0.0","0.0",,"74","31","74"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-02","0.00","0.0","0.0",,"76","36","65"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-03","0.00","0.0","0.0",,"76","38","74"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-04","0.00","0.0","0.0",,"79","37","74"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-05","0.00","0.0","0.0",,"79","40","69"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-06","0.00","0.0","0.0",,"79","38","69"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-07","0.00","0.0","0.0",,"80","47","71"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-08","0.00","0.0","0.0",,"80","50","79"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-09","0.00","0.0","0.0",,"79","50","73"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-10","0.00","0.0","0.0",,"77","34","75"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-11","0.00","0.0","0.0",,"78","35","73"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-12","0.00","0.0","0.0",,"72","48","70"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-13","0.00","0.0","0.0",,"74","38","72"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-14","0.00","0.0","0.0",,"75","35","72"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-15","0.00","0.0","0.0",,"76","37","71"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-16","0.00","0.0","0.0",,"72","35","68"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-17","0.00","0.0","0.0",,"74","31","73"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-18",,"0.0","0.0",,,,
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-19",,"0.0","0.0",,,,
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-20",,"0.0","0.0",,,,
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-21",,"0.0","0.0",,,,
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-22",,"0.0","0.0",,,,
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-23",,"0.0","0.0",,,,
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-24",,"0.0","0.0",,,,
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-25",,"0.0","0.0",,,,
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-26",,"0.0","0.0",,,,
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-27",,"0.0","0.0",,,,
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-28",,"0.0","0.0",,,,
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-29",,"0.0","0.0",,,,
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-30",,"0.0","0.0",,,,
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-07-31",,"0.0","0.0",,,,
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-03",,,,,"46","36","38"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-04",,,,,"45","24","42"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-05",,,,,"48","30","44"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-06",,,,,"43","21","43"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-07",,,,,"49","29","47"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-08",,,,,"59","26","58"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-09",,,,,"57","33","52"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-10",,,,,"60","27","57"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-11",,,,,"60","28","53"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-12",,,,,"53","22","34"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-13",,,,,"34","17","31"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-14",,,,,"35","12","29"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-15",,,,,"43","28","38"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-16",,,,,"46","22","40"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-17",,,,,"47","27","44"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-18",,,,,"47","28","43"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-19",,,,,"46","24","41"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-20",,,,,"50","23","47"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-21",,,,,"56","24","54"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-22",,,,,"53","31","47"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-23",,,,,"47","24","42"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-24",,,,,"42","27","29"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-25","0.00",,,,"30","15","29"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-26","0.00",,,,"41","13","35"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-27","0.00",,,,"43","12","36"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-28","0.00",,,,"39","8","34"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-29","0.00",,,,"47","10","40"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-11-30","0.00",,,,"40","27","28"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-01",,,,,"30","24","25"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-02",,,,,"35","2","31"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-03",,,,,"43","3","34"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-04",,,,,"48","10","40"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-05",,,,,"49","18","40"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-06",,,,,"44","13","40"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-07",,,,,"51","19","45"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-08",,,,,"47","32","42"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-09",,,,,"48","26","43"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-10",,,,,,"31","37"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-11",,,,,"37","20","22"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-12",,,,,"32","-2","27"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-13",,,,,"43","8","38"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-14",,,,,"39","30","37"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-15",,,,,"35","29","29"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-16",,,,,"29","0","20"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-17",,,,,"28","4","21"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-18",,,,,"34","4","28"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-19",,,,,"28","4","13"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-20",,,,,"17","-1","12"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-21",,,,,"30","-6","22"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-22",,,,,"35","-10","29"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-23",,,,,"41","25","38"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-24",,,,,"38","31","34"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-25",,,,,"34","20","23"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-26",,,,,"27","3","21"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-27",,,,,"29","-5","24"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-28",,,,,"33","24","31"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-29",,,,,"35","2","29"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-30",,,,,"38","6","33"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-12-31",,,,,"46","7","39"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-01",,,,,"48","12","42"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-02",,,,,"44","18","40"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-03",,,,,"45","20","42"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-04",,,,,"42","10","37"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-05",,,,,"36","16","32"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-06",,,,,"40","19","40"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-07",,,,,"51","29","47"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-08",,,,,"47","22","30"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-09",,,,,"40","2","34"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-10",,,,,"40","19","37"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-11",,,,,"36","21","34"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-12",,,,,"42","33","39"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-13",,,,,"39","34","33"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-14",,,,,"39","33","37"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-15",,,,,"36","28","33"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-16",,,,,"36","23","33"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-17",,,,,"40","15","36"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-18",,,,,"40","15","36"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-19",,,,,"40","34","36"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-20",,,,,"36","34","35"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-21",,,,,"34","32","32"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-22",,,,,"32","20","21"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-23",,,,,"32","10","25"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-24",,,,,"34","22",
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-25",,,,,"39","32","36"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-26",,,,,"36","23","25"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-27",,,,,"24","20","21"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-28",,,,,"21","15","15"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-29",,,,,"22","-12","18"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-30",,,,,"27","10","22"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-01-31",,,,,"32","-16","30"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-01",,,,,"29","10","26"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-02",,,,,"34","-7","32"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-03",,,,,"35","-12","34"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-04",,,,,"37","-3","34"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-05",,,,,"35","24","25"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-06",,,,,"28","22","22"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-07",,,,,"31","-11","31"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-08",,,,,"38","-2","34"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-09",,,,,"38","30","36"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-10",,,,,"46","19","43"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-11",,,,,"43","18","36"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-12",,,,,"36","29","30"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-13",,,,,"32","-2","31"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-14",,,,,"30","22","30"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-15",,,,,"30","28","28"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-16",,,,,"33","7","32"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-17",,,,,"37","-8","35"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-18",,,,,"35","21","30"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-19",,,,,"32","26","30"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-20",,,,,"31","23","29"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-21",,,,,"30","-5","28"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-22",,,,,"29","1","28"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-23",,,,,"28","20","21"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-24",,,,,"28","15","25"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-25",,,,,"27","18","24"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-26",,,,,"28","6","27"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-27",,,,,"36","-2","29"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-02-28",,,,,"33","24","25"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-01",,,,,"34","10","31"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-02",,,,,"39","-4","22"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-03",,,,,"29","15","20"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-04",,,,,"31","20","31"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-05",,,,,"42","-7","38"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-06",,,,,"38","20","28"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-07",,,,,"28","6","26"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-08",,,,,"30","-6","29"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-09",,,,,"29","10","24"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-10",,,,,"29","4","28"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-11",,,,,"32","-7","28"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-12",,,,,"32","13","28"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-13",,,,,"29","12","28"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-14",,,,,"39","-2","38"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-15",,,,,"42","6","42"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-16",,,,,"47","8","43"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-17",,,,,"42","30","41"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-18",,,,,"40","33","37"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-19",,,,,"41","8","41"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-20",,,,,"43","16","36"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-21",,,,,"35","24","34"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-22",,,,,"51","17","50"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-23",,,,,"50","10","44"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-24",,,,,"47","13","43"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-25",,,,,"44","11","44"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-26",,,,,"50","15","49"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-27",,,,,"56","16","56"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-28",,,,,"62","20","55"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-29",,,,,"55","21","54"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-30",,,,,"56","29","54"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-03-31",,,,,"54","43","45"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-01",,,,,"50","22","48"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-02",,,,,"48","22","38"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-03",,,,,"42","24","42"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-04",,,,,"51","21","47"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-05",,,,,"47","31","31"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-06",,,,,"35","21","33"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-07",,,,,"39","10","39"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-08",,,,,"45","12","45"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-09",,,,,"47","19","42"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-10",,,,,"49","21","49"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-11",,,,,"53","25","53"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-12",,,,,"53","30","44"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-13",,,,,"47","22","41"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-14",,,,,"41","19","36"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-15",,,,,"42","25","42"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-17",,,,,"54","25","46"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-18",,,,,"45","29","45"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-19",,,,,"59","26","58"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-20",,,,,"62","29","60"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-21",,,,,"66","30","63"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-22",,,,,"63","30","50"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-23",,,,,"50","30","30"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-24",,,,,"35","22","35"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-25",,,,,"41","19","41"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-26",,,,,"48","23","48"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-27",,,,,"55","24","55"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1969-04-28",,,,,"59","28","57"
